title,description,referenceIdentifier,rights,subjectCategory,url
이태리 오리지널 뮤지컬 <일 삐노끼오>,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2009/pinocchio/index.html""><u>이태리 오리지널 뮤지컬 <일 삐노끼오> 홈페이지 바로가기</u></a>]

					“소프라노 조수미가 극찬한 국내 최초 이태리 오리지널 뮤지컬”

<’삐노끼오’원작 스토리에 충실, 이태리 특유의 감각으로 표현>

뮤지컬 ‘일 삐노끼오’는 지금까지 국내에 소개되었던 뮤지컬들과 차별화된 오페라 뮤지컬로, 세계적 작가인 C. 클로디의 원작 ‘삐노끼오’의 스토리를 전 극에 걸쳐 표현하고 있으며, 이태리 특유의 느낌이 돋보이는 음악과 감각적인 무대 구성으로 기존의 뮤지컬 마니아 외에 오페라 마니아
까지 만족시키는 작품이다. 

2003년 밀라노(이태리) 초연 이후, 이태리 전역 22개 도시와 스페인 등 유럽 지역에 공연되어 
수많은 관객들에게 호평 받은 바 있으며 특히 세계적으로 사랑 받고 있는 소프라노 조수미가 
극찬하고 국내 공연을 추천한 작품으로 알려져 있다.

<‘일 삐노끼오’ 환상적 모험, 문화 다양성, 창조성, 그리고 대중성>

뮤지컬 ‘일 삐노끼오’는 C. 클로디의 원작인 삐노끼오의 환상적 어드벤쳐 스토리를 통하여 우리 모두의 마음속에 감추고 있는 판타지 세계로의 모험, 그 유혹을 경험하게 한다.

뮤지컬의 세계화 추세에 발 맞추어 다양한 유럽 뮤지컬들이 국내에 선보여지는 가운데 뮤지컬 
‘일 삐노끼오’는 이러한 시장의 요구와 관객들의 수준을 반영하여 우리에게 창조적 인간의 전형인 다빈치와 수제 명품으로 친근한 이태리 문화의 진 면목을 보여 주는 이태리 명품 뮤지컬로 자리잡을 것이다. 

뮤지컬의 “감동”은 그 주제의 창조적인 표현으로 다가온다. 섬세한 무대 디자인과 비비드 컬러의 의상, 세심한 메이크업, 풍성한 장면 전환으로 이루어진 뮤지컬 ‘일 삐노끼오’는, 오랫동안 이태리 특유의 감수성을 표현해온 영화 감독 사베리오 마르코니의 손길을 거쳐 면면이 그의 상상력을 극대화시키고 있다.

뮤지컬의 성공은 작품 자체의 완성도와 관객의 반응을 통하여 평가된다. 연령과 성별, 지역을 
초월하여 잔잔한 감동을 선사하게 될 뮤지컬 ‘일 삐노끼오’! 그 감동은 바쁘고 메마른 우리의 
하루 일상에 신선한 파장을 일으킬 것이다.

					<!--<일 삐노끼오>환상적 모험, 문화 다양성, 창조성, 그리고 대중성
뮤지컬 <일 삐노끼오>는 C. 클로디의 원작인 삐노끼오의 환상적 어드벤쳐 스토리를 통하여 우리 모두의 마음속에 감추고 있는 판타지 세계로의 모험, 그 유혹을 경험하게 한다.

뮤지컬의 세계화 추세에 발 맞추어 다양한 유럽 뮤지컬들이 국내에 선보여지는 가운데 뮤지컬 <일 삐노끼오>는 이러한 시장의 요구와 관객들의 수준을 반영하여 우리에게 창조적 인간의 전형인 다빈치와 수제 명품으로 친근한 이태리 문화의 진 면목을 보여 주는 이태리 명품 뮤지컬로 자리잡을 것이다. 

뮤지컬의 “감동”은 그 주제의 창조적인 표현으로 다가온다. 섬세한 무대 디자인과 비비드 컬러의 의상, 세심한 메이크업, 풍성한 장면 전환으로 이루어진 뮤지컬 <일 삐노끼오는>, 오랜 동안 이태리 특유의 감수성을 표현해온 영화 감독 사베리오 마르코니의 손길을 거쳐 면면이 그의 상상력을 극대화시키고 있다.

뮤지컬의 성공은 작품 자체의 완성도와 관객의 반응을 통하여 평가된다. 연령과 성별, 지역을 초월하여 잔잔한 감동을 선사하게 될 뮤지컬 <일 삐노끼오>! 그 감동은 바쁘고 메마른 우리의 하루 일상에 신선한 파장을 일으킬 것이다 -->",http://www.sacticket.co.kr/webhome/upload/prog_13406_1.jpg,"㈜SBS, 중앙일보, SMI엔터테인먼트㈜",뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=13406&s_date=20090807
뮤지컬 `토요일 밤의 열기`,"< 시놉시스 >

브룩클린에 사는 토니는 페인트 가게에서 아르바이트를 하는 스무살의 평범한 청년이다. 아버지는 실직 중이고 집안의 관심은 목사인 형에게 쏠려 있다. 하지만 토요일 밤 디스코테크 2003 오딧세이에서  그는 결코 평범하지 않다. 머리에 무스를 바르고 셔츠 단추 2개를 풀어헤친 채 무대를 누비는 그는 부러울 것이 없다. 모든 여자들이 그에게 말을 붙이고 싶어하고 그의 파트너가 되고 싶어한다. 토니에게는 시시껄렁한 친구들이 있다. 건달끼가 다분한 친구들은 맥주를 마시고 춤을 추다 괜찮은 여자를 꼬셔서 하루를  즐기고 싶다는 생각이 전부다. 

 토니는 자신의 댄스 파트너인 아네트와 멋진 춤을 선보이고, DJ인 몬티가 곧 있을 댄스 경연대회에 나가라고 제안한다. 아네트 역시 함께 참가하자고 부추긴다. 그녀는 댄스 경연대회에 나가는 것보다 토니와 함께 있을 수 있다는 데 더 관심이 많다. 하지만 이미 토니의 시선은 무대에서 세련되고 섹시한 춤을 추고 있는 스테파니를  쫓고 있었다. 토니는 스튜디오에서 스테파니를 만나 함께 춤을 춘다. 둘은 처음이라고는 믿을 수 없을 정도로 호흡이 잘 맞는다. 마치 하나의 영혼을 가진 두 사람이 말 없이도 통할 수 있는 교감을 하듯 둘의 춤은 환상 자체다. 
토니와 스테파니는 자신들이 서로에게 가장 최고의 파트너라는 걸 느낀다. 토니는 스테파니를 댄스 경연대회 파트너로  결정한다. 토니는 그녀와 춤을 추면서 느꼈던 감정을 이야기하고 서로에게 좀더 가깝게 다가가고 싶어한다. 하지만 스테파니는 춤 이외의 것은 사양한다. 맨하튼의 상류사회를 동경하는 그녀에게 미래가 불투명한 토니는 자신의 상대가 아니었던 것이다. 토니가 아네트에게 파트너를 바꿨다고 하자 아네트는 더욱 토니에게 집착한다. 한편 토니의 친구 바비는 고민이 있지만 들어줄 사람이 없다. 모든 사람들이 선망하는 친구인 토니에게 상의하고 싶었지만 토니는 자신의 문제를 고민하기에도 바쁘다. 

마침내 댄스 경연대회. 스테파니와 파트너가 된 토니는 모든 사람들이 놀랄 만한 춤을 보여준다. 
하지만 푸에르토리코 커플은 토미 커플보다도 더 환상적인 춤을 선보인다. 그러나 이방인인 푸에르토리코 
사람들에게 우승컵을 안겨주진 않는다. 결국 토니 커플이 우승을 하게 되지만 자신이 졌다는 것을 너무도 잘 
아는 토니는 우승컵을 그들에게 넘겨준다. 아네트는 거듭 토니에게 거절당하자 극단적으로 자신을 포기하려 든다. 토니는 이런 아네트를 위로하는데 어느새 바비가 위험스럽게 다리 위에 올라가 있다. 혼란스럽고 불확실한 젊음! 주위 사람들은 물론 자신조차 무엇을 해야 할지 몰랐던 토니는 바비의 자살로 충격을 받고 새로운 미래로 뛰어들기 위해 브룩클린을 벗어나기로 결심한다.",http://www.sacticket.co.kr/webhome/upload/prog_9101_1.jpg,돌꽃컴퍼니,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=9101&s_date=20040717
뮤지컬 명성황후 10주년 기념,"[<a href=""http://www.thelastempress.com/"" target=""_blank""><u>뮤지컬 '명성황후' 홈페이지 바로가기</u></a>]			

월요일 공연없음 / 단, 2월 21일(월) 공연있음


★ 1995년 시해 100주년, 명성황후 뮤지컬로 부활!
★ 10년간 총 130명의 스텝, 240명의 배우가 모여 이루어낸 마스터피스!
★ 600벌의 궁중의상과 역동적인 이중회전무대, 신이 내린 빛의 완벽한 조화!
★ 동양 최초의 브로드웨이와 웨스트엔드 진출, 6차례의 해외 공연!
★  LA 오베이션 어워드 3개 부문 노미네이트, 각종 뮤지컬상 수상!
★ 580회의 공연, 77만명의 관람객! 관객과 함께한 뮤지컬 <명성황후>",http://www.sacticket.co.kr/webhome/upload/prog_9122_1.jpg,예술의전당 / 에이콤 / CJ 엔터테인먼트,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=9122&s_date=20050204
가족뮤지컬 `크리스마스 캐롤`,"구두쇠 스크루지가 크리스마스 이브에 세 명의 유령을 만나 자신의 과거, 현재, 미래를 여행하면서 진정한 삶이 무엇인지를 깨닫고 가족의 화합과 사랑을 찾게 된다는 가족 뮤지컬. 

온 세상 사람들이 사랑을 주고받으며 행복해하는 크리스마스는 탐욕스러운 스크루지에게 빌려준 돈을 긁어모으는 수금 날에 불과하다. 크리스마스날 만큼은 쉬지 않을까 기대를 해보는 봅 앞에서 모금함을 들고 온 교인들까지도 쫓아버리는 지독한 스크루지, 조카인 프레드는 삼촌 스크루지에게 크리스마스를 함께 하자고 청하지만 그 반응은 냉담하기만 하는데.....",http://www.sacticket.co.kr/webhome/upload/prog_9220_1.jpg,서울예술단,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=9220&s_date=20041223
뮤지컬 `바람의 나라`,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2009/09_wind/index.html""><u>뮤지컬 '바람의 나라' 홈페이지 바로가기</u></a>]

<시놉시스>

1막
고구려 3대 대무신왕 원년.
무휼은 실종된 누나 세류를 찾아 명림 계곡으로 들어간다.
명림은 선대인 유리왕 대에 역모로 의심받아 아비의 명에 의해 자살한 해명태자를 따르던 사람들이 같은 이유로 숱하게 몰려 죽은 곳.
이곳에서 그는 해명태자의 연인이며 그의 남은 군사를 이끌고 있는 새타니 혜압을 만난다.
해명태자의 의지와 억울하게 죽은 자들의 원혼이 함께 뭉친 명림에서 과거와 현재가 뒤섞이며 한판 굿이 벌어지고 무휼은 해명의 군사를 얻게 된다.

  또한 백호인 괴유는 자기에게 주어진 영원한 생명을 포기하고 왕으로 모실 그(무휼)를 찾아오고, 적곡의 마로가 그에게 충성을 맹세한다. 이윽고 무휼을 수호하는 사신들이 그를 둘러싸며, 고구려의 군사들도 고구려의 꿈인 부도로 그와 함께 가기를 원한다.

  한편, 왕의 나이가 어림을 빌미로 왕권을 좌지우지하고자 음모를 꾸민 구신들은 왕에게 군사를 빌려주는 대신 자기들이 내세우는 여인과 정략결혼을 할 것을 요구한다. 
  무휼은 그들의 뜻에 동조하는 척하나, 힘을 얻자마자 그들을 숙청하여 정치적으로 강력한 힘을 키운다.

오로지 왕비자리만을 노리고 들어온 이지는 그만 첫눈에 그를 사랑하게 되나, 그의 마음속에 그녀는 정략의 대상일 뿐, 사랑으로도 왕비로도 들어갈 자리가 없다.
그리고 무휼의 태자시절, 궁에 침입한 부여의 자객으로부터 아들을 구하려다 살해당한 무휼의 첫사랑인 태자비 연의 아들 호동이 점점 자라간다.

2막
호동이 자라면서 그의 신수인 봉황과 아버지의 신수인 청룡이 서로 상극임이 드러나고, 부자간에 충돌을 예견하는 살이 끼어있음이 나타난다. 
무휼은 부자간의 살을 없애기 위해 호동의 신수를 활로 쏘지만 실패한다. 

어린 시절, 고구려가 신생한 약한 나라로서 부여의 무시와 한나라에게 멸시를 받는 것을 보고 자란 무휼은 강력한 대제국 고구려를 꿈꾸며 영토적 정복에 의한 이념(부도)을 택했었다.
그리하여 대무신왕 4년. 
무휼은 괴유를 상장군으로 앞장세워 부여와의 전쟁을 개시, 부여의 왕 대소를 죽이게 되나 워낙 강력했던 그들의 힘에 밀려 결국 패퇴한다. 
패배와 자신의 존재에 대해 회의를 느끼는 그를 잡아준 것은 그를 믿고 따르는 군사들과 백성들. 그는 패했지만 그 전장에서 왕으로서의 의지와 입지를 강력히 굳힌다.

호동은 아버지를 이해하고 사랑하며 닮고 싶어 하지만 결국, 그가 원하는 것은 아버지의 이상인 정복적이고 현실적인 후천적인 부도가 아니라, 평화를 갈망하는 선천적이며 이상적인 부도. 
호동의 이상이 점점 더 확연해 질수록 무휼은 호동의 온건함과 유약함에 실망하고 호동은 전쟁을 불사하는 아버지의 뜻에 반대하는 자신을 깨닫는다. 
그렇게, 약한 나라에서 강한 나라로 성장하기 위한 무휼의 전쟁은 끝이 없고, 돌아보지 않는 왕에 대한 왕비 이지의 애증도 극한에 달하여, 아버지가 아들을 죽이는 비극이 다시 싹 트게 된다.",http://www.sacticket.co.kr/webhome/upload/prog_13422_1.jpg,(재)서울예술단,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=13422&s_date=20090610
뮤지컬 `퀴즈쇼`,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2009/09_quizshow/index.html""><u>뮤지컬 '퀴즈쇼' 홈페이지 바로가기</u></a>]

					<공연소개>
* 현대를 살아가는 젊은이의 초상 뮤지컬 <퀴즈쇼>
뮤지컬 <퀴즈쇼>는 <나는 나를 파괴할 권리가 있다><오빠가 돌아왔다> 등의 베스트셀러 작가 김영하의 동명 장편소설이 원작이다. 
컴퓨터에 익숙하고 온라인 상에서의 만남과 사랑이 가능하다는 것을 경험한 네트워크 세대의 성장담이자 연애담을 표방한 소설 ‘퀴즈쇼’는, 각박한 도시 생활 속 젊은이의 초상을 리얼하게 그리며, 같은 세대라면 누구나 공감할만한 탁월한 심리묘사와 흥미 넘치는 전개로 젊은 독자들에게 큰 반향을 불러일으켰다. 
뮤지컬 <퀴즈쇼>는 우리 젊은이의 대표주자 이민수를 주인공으로 하고 있다. 
오늘을 살아가는 스물 여덟 젊은이 이민수, 그의 청춘은 질문들로 가득하다. ‘철이 없는’ 혹은 ‘속물이 아닌(아니려고 노력하는)’ 민수는 느닷없이 세상에 던져져 여러가지 사회 경험을 하게되고 회사에도 들어가지만 그의 원하는 것이 무엇인지 찾을 수 없다. 그는 결국 어디에서 자신의 꿈이 무엇인지, 어떻게 살아야할지 알게 될 것인가? 

* 새로운 뮤지컬을 꿈꾸는 <퀴즈쇼>
뮤지컬 ‘퀴즈쇼’는 새로운 뮤지컬을 꿈꾸고 있다. 
한국의 중소극장 창작 뮤지컬의 대세인 로맨틱 코미디를 탈피한 새로운 장르의 뮤지컬
-	이제 로맨틱 코미디가 아니어도 관객들에게 어필할 수 있는 새로운 창작뮤지컬이 필요한 때다. 실험정신이 가득하고, 깊이있는 이야기가 있으며, 복잡다단한 사회의 면모들을 담아낼 수 있는 뮤지컬에 목마른 이때, 뮤지컬 <퀴즈쇼>가 그런 목마름을 채워 줄 것이다.   
한국의 젊은 관객들이 공감할 수 있는 그들의 이야기와 감성을 담은 뮤지컬 
-	자의든 타의든 88만원 세대, 캥거루 족이라 불리우는 젊지만 고된 2,30대, 그렇지만 젊음이 있기에 희망을 꿈꿀 수 있는 그들의 생활과 고민을 담은 뮤지컬
-	젊은이들에게 익숙한 인터넷 공간이 중요 테마이자 배경인 뮤지컬: 어떤 종류의 ‘쓰레기’일 수도 있지만, 주인공 민수와 우리가 딛고 서있는, 우리를 낳은 토대이며 동시에 앞으로 주인공과우리가 살아갈 터전이기도 한 인터넷 공간
그리고 그 표현방식에서조차 감각적이고 창의적이고, 무엇보다도 자유로운 뮤지컬
무대 - 익숙한 서울의 공간, 그렇지만 그 표현은 도식화되고 생략적인 무대
- 환상의 퀴즈쇼의 공간, 그렇지만 그 표현은 철학적이고 함축적인 무대
-  “어떤 것은 으레 그 모습을 하고 있을 것이다” 는 고정관념을 깨뜨리는 무대  
음악 &#8211; 일상생활속의 말과 단어가 어떻게 불리워지고 노래되고 싶은지를 표현하는 음표들
- 단순한 이지 리스닝의 음악이 아닌 등장인물의 개성과 심리를 나타내주며 드라마 구조를 탄탄히 받쳐줄수 있는 음악 
- 청춘, 회사, 사랑 이런 테마들이 마치 하나의 사회처럼 얽히고설켜 노래 넘버들을 완성해내고, 장을 완성하고, 막을 완성하는 유기적인 음악

<줄거리>
대학원생 민수는 무명 여배우였던 멋쟁이 외할머니가 자신을 키워준 유일한 가족이다.
민수의 삶은 외할머니의 죽음으로 완전 뒤바뀌는데, 풍족한 줄 알았던 외할머니가 모두 빚으로 생활해 왔던 것을 알게 되고 할머니의 죽음 후 남은 것은 빚쟁이들의 독촉뿐. 빚 대신 살던 집을 넘겨주고 민수는 고시원에 입소한다. 
앞날이 막막하기만 한 민수는 편의점 아르바이트를 시작하는데 여기서도 쓰레기 같은 손님들, 깐깐한 사장과 씨름하며 하루하루를 보낸다. 
민수는 취업 인터뷰에서 매번 낙방하며 배경의 중요성을 절감한다. 현실을 벗어나고 싶어 들어간 인터넷 퀴즈방에서 민수는 두각을 나타내고 금방 그 안에 빠져든다. 그리고 퀴즈방 안에서 만난 “벽 속의 요정”이라는 아이디의 지원과 교감을 하며 서로 호감을 갖게 된다. 
한편 민수를 지켜보던 묘령의 남자 이춘성은 민수에게 “퀴즈만 잘 풀면 부와 명예가 주어지는 회사”가 있다며 명함을 내미나 민수는 대수롭지 않게 여긴다.
민수는 지원과의 교감 후 서로를 향한 마음이 커져간다. 데이트 비용이 없던 민수는 고시원 옆방 처녀 수희에게 돈을 빌리면서까지 지원과의 만남을 지속하고, 지원과 민수가 사랑을 꽃피우는 동안 수희는 쓸쓸하게 죽음을 맞이한다.  
편의점에서 실수를 범하고 사장과 크게 다툰 후 편의점을 그만두고 설상가상으로 고시원에서도 밀린 방세로 인해 쫓겨나게 되는 민수는 수희가 자살했다는 소식에 엄청난 충격을 겪는다.  
자괴감과 갈 곳 없고 돈도 없는 처지의 한심함이 극에 달하는 민수. 혼란스러워 하던 민수는 주머니 속 이춘성의 명함을 발견하고 그에게 전화한다. 
이춘성을 따라 들어오게 된 퀴즈 회사, 과연 민수의 앞날에는 어떤 일들이 펼쳐질까? 민수의",http://www.sacticket.co.kr/webhome/upload/prog_13429_1.jpg,신시컴퍼니,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=13429&s_date=20091206
"JAZZ 뮤지컬 `sing, sing, sing(싱싱싱)`","“한 노래로 얽혀 있는 두 여자와 한 남자,
불발탄 같았던 이들의 사랑은 JAZZ에서 그 리듬을 타게 된다.”

재즈 클럽 ‘Listen to’ 오늘 밤, 오픈 5주년 축하공연이 열릴 예정이다. 하지만 갑자기 내린 비 때문에 주인공 찰리는 공연을 2시간 앞두고 펑크 낸다. 클럽 주인 이송은 안절부절못한다. 항상 주인공이 펑크 내는 바람에 대타를 구해야 하는 징크스가 있기 때문이다. 공연을 취소할 위기에 놓였을 때 유나가 클럽에 들어선다. 유나를 본 이송은 깜짝 놀란다. 고등학교 음악 선생님과 제자였던 사이였기 때문에 놀라움은 유나도 마찬가지다. 10년 만에 만난 두 사람이자만 기쁨도 잠시, 냉랭한 기운이 돈다. 천상의 목소리로 노래했던 그녀는 이제 노래하지 않는다. 자작곡을 선물할 만큼 그녀의 목소리를 사랑했기 때문에 지금 유나의 모습이 안타깝기만 하다. 이때 또 한명의 손님이자, 유나의 동생인 해나가 들어선다. 이송은 5주년 공연을 해나에게 부탁하게 되면서 세 사람의 얽힌 노래가 펼쳐지는데….",http://www.sacticket.co.kr/webhome/upload/prog_13814_1.jpg,서울뮤지컬컴퍼니,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=13814&s_date=20090407
"뮤지컬 `판소리, 애플그린을 먹다`","<공연소개>
판소리와 뮤지컬이 만나다!
거침없이 진화하는 신선한 국악뮤지컬 '판소리,애플그린을 먹다'
공연~다 거기서 거기, 뭐 색다른 공연 없을까?
‘국악’하면 접해보기도 전에 으레 도리질을 치는 게 일반적인 현상이다. 왜냐하면 ‘국악은 지루하고, 재미없고, 졸리기 때문’이다. 하지만, 여기 배꼽 빠지게 웃긴 국악이 있다! 타루는 2001년부터 줄기차게 ‘국악은 재미있는 것’을 온몸으로 실천해 온 국악뮤지컬 창작집단이다. 젊은 감수성으로 톡톡 튀는 아이디어가 일품인 타루가 만드는 21C 새로운 국악뮤지컬은 관객과 끊임없이 교감과 소통을 하며 함께 즐기는 시간을 만든다. 

천편일률적인 사랑이야기가 주를 이루는 한국 뮤지컬 시장에 2007년, 2008년 전주대사습 장원, 동아 콩쿠르 대상 수상자 등 우리의 전통예술로 무장된 젊은 국악인들이 펼치는 다른 공연 은 적잖은 파장을 일으킬 것이다. 또한 새로움을 갈망하는 뮤지컬 매니아들에게도 이색적인 경험을 선사할 것이다.   

<프로그램>  
&#65517; 엉뚱한 상상, 배꼽 빠지는 풍자! - [과자이야기] 
꽃게랑과 오감자의 운명적인 만남, 그러나 이루어질 수 없는 사랑! 로미오와 줄리엣을 패러디하여 육지과자와 바다과자의 비극적인 사랑을 그려낸 타루의 엉뚱한 과자이야기. 누구나 다 아는 스토리를 젊은 국악뮤지컬 양식으로 어떻게 풀어내는지, 타루의 엉뚱한 상상과 장면연출로 배꼽잡고 웃을 수 있는 한판 시원한 판 열음이다. 

&#65517; 당찬 소리꾼 ‘송희’의 꿈과 사랑이야기 - [23살 송희] 
[서편제]를 보고 ‘오정해’ 언니처럼 판소리를 하고 싶다했던 당찬 8살 송희!
15년의 세월이 흘러 당당한 소리꾼이 되어 있는 23살 송희는 오늘 자신의 이야기(?)를 싱싱한 소리로 들려준다. 손발 오그라드는 앙큼한 사랑이야기, 자아를 찾아가는 예쁜 송희의 소리를 들으러 함께 떠나봅시다!

&#65517; 희망고갈의 시대, 꿈과 희망을 다시 묻다 - [조선나이키] 
박광현 감독의 영화 『묻지마 패밀리』의 “내 나이키”를 타루 식으로 각색한 작품으로 70년대 나이키 신발을 갖고 싶어 하는 한 아이의 해프닝을 극화시킨 작품이다. 사람들은 누구나 꿈을 하나씩 가슴속에 품고 살지만, 현실의 벽에 부딪히게 되면 때로는 그 꿈을 버리기도 하고 그냥 잊고 살아가기도 한다. 그 꿈이 크건 작건 대단하건 대단하지 않건, 자신이 이루려는 무언가를 품고 살아가는 건 그 삶의 여정 자체만으로 행복한 일이다. 이것이 바로 타루가 이야기 하는 꿈! 극적인 전통 노래와 토속 민요의 신나는 리듬을 바탕으로 재치 있는 안무와 노래가 곁들여져 공연 내내 배꼽 빠지는 줄 모르는 작품이다.

<국악뮤지컬집단 타루, 유쾌한 실험의 결정판>

지난 십 여년 간 판소리와 국악의 현재화를 고민하고 실험해온 타루. 본 작품은 타루 초기 2003년 초에 처음 발표된 작품으로, 구성원 개개인의 창조적이고도 주체적인 에너지로 스스로 작가, 연출, 작곡, 배우를 겸하면서 탄생한 작품이다. 먹고 싶은 것도 많고 하고 싶은 것도 많았던 시절이었기에, 작품 또한 각양각색의 다양하고도 배꼽 빠질만한 재미있는 공연들이 나왔다. 그게 바로 '판소리, 애플그린을 먹다'이다. 
'판소리, 애플그린을 먹다'에는 “현재” 우리와 함께 살고 있는 “만인”을 위한 살아있는 국악, 판소리, 민요를 만들고자 하는 타루의 의지가 일관되게 흐르고 있음을 알 수 있을 것이다. 곧, 타루는 “현재”속에 “살아있는” 국악/판소리를 만들고자 하는 것이다. 

초연 이후 꾸준히 업그레이드 되어온 '판소리, 애플그린을 먹다'는 2009거창국제연극제 공식초청, 2009화성국제연극제 공식초청, 2009 ‘젊은국악연대 모여놀기 프로젝트 2’ 공연에 이어 예술의전당 자유소극장에서 관객들을 기다릴 예정이다. 또한 문화체육관광부 주최의 ‘꿈꾸는 문화열차’ 사업으로 전국 각지에서 공연을 펼치고 있으며 모 대기업의 후원을 받아 백령도, 울릉도 등의 도서지역 공연도 예정되어 있어 2009년은 전국에 걸쳐 ‘애플그린’ 열풍이 불 것이다.",http://www.sacticket.co.kr/webhome/upload/prog_14046_1.jpg,국악뮤지컬집단 타루,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=14046&s_date=20090806
뮤지컬 `로미오와 줄리엣`, ,http://www.sacticket.co.kr/webhome/upload/prog_14107_1.jpg,마스트엔터테인먼트,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=14107&s_date=20090630
뮤지컬 `일 삐노끼오`, ,http://www.sacticket.co.kr/webhome/upload/prog_14109_1.jpg,SMI엔터테인먼트㈜,뮤지컬,http://www.sac.or.kr/program/schedule/view.jsp?seq=14109&s_date=20090804
