title,description,referenceIdentifier,rights,subjectCategory,url
헨리 6세 제1부,"이 작품은 영국인들이 프랑스에 소유한 영토를 지키려는 목적이 결국 무산되어버리는 프랑스와의 치열한 전투와 영국 왕국의 위계질서에 대한 위험한 붕괴에 관한 연극이다.
내부의 불화는 해외 원정에 치명적인 결과와 내란을 예고하게 된다. 헨리5세의 장례식이 진행되는 웨스트민스터 사원에 프랑스 군이 영국 군을 패배시켰다는 비보와 함께 전설적인 용장 탈보트는 포로가 되고 프랑스 황태자는 왕관을 쓰게 된다. 
한 편 영국내에선 어린 헨리 6세의 섭정 글로스터와 헨리의 종조부인 윈체스터 주교 보포르트가 위험스런 불화에 휩싸이고 런던에선 왕권을 주장하며 야심에 불타는 플랜태저네트가의 리처드와 서머셋 백작은 템플 가든에서 서로 다른 뿌리깊은 권력 파당의 상징적인 장미 - 플랜태저네트의 요크 가문 리처드는 백장미, 서머셋은 랑카스터 가문의 붉은 장미 - 를 꺾어 가슴에 달며 치명적 분열을 예고한다.
헨리왕은 리처드를 요오크 공작으로 봉하고 파리로 가서 프랑스왕도 겸하게 된다.
라 푸셀(잔 다르크)은 영국군으로부터 프랑스 존망의 위기를 돌파하고 루앙을 확보했다가 다시 잃지만 버건디 공작의 지지를 얻게 되고 결국 프랑스를 구하지만 앤저스 성앞에서 포로가 된다. 잔 다르크는 권력에 대한 탐욕이 판치는 정치게임 속에 제물이 돼 결국 화형장으로 끌려가 처형을 당하고 프랑스와 영국 사이에 “신성한 평화”가 형성된다. 파렴치한 서포크백작은 앙주 공작 레이에의 딸이자 그의 포로가 된 마거릿의 미모를 이용해 그녀를 헨리왕과 결혼시킬 때 자기에게 돌아올 이득을 계산하고 헨리왕과 결혼을 주선하며 야심에 가득찬 음모의 발화가 시작 되는데...",http://www.sacticket.co.kr/webhome/upload/prog_16042_1.jpg,유라시아 셰익스피어 극단,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16042&s_date=20110406
헨리 6세 제1부, ,http://www.sacticket.co.kr/webhome/upload/prog_16043_1.jpg,유라시아 셰익스피어 극단,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16043&s_date=20110405
미드썸머,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2011/midsummer/index.html""><u>음악이 있는 연극 '미드썸머' 홈페이지 바로가기</u></a>]

누구나 한번쯤 꿈꾸는 일탈, 한여름 밤의 꿈 같은 이야기! 

오디뮤지컬컴퍼니 10주년 기획공연 ‘아주 특별한 2인극’ 의 첫 작품!
2009년 에딘버러 페스티벌에서 작품성과 흥행성을 인정받은 최신 영국 연극! 

한국 뮤지컬 계의 스타프로듀서 신춘수와 세계적으로 각광받고 있는 연출가 양정웅의 만남! 
스크린과 브라운관을 넘나드는 팔색조 여배우 예지원의 무대도전과, 연기파 뮤지컬배우 서범석, 이석준 더블 캐스트!

무대 위 배우들이 직접 연주하는 서정적인 기타선율과 아름다운 노래, 
이 시대를 살아가는 젊은이들에게 전하는 희망 메시지,
음악이 있는 연극 ‘미드썸머’

					[시놉시스]

페스티벌이 한창인 에딘버러, 8월의 금요일 밤.
변호사인 헬레나는 데이트 약속이 펑크가 나자 늘 가던 바에 가서 와인을 한 잔하며 울적한 마음을 달랜다. 도난차량을 매매하는 어설픈 지하조직의 하수인인 밥 역시 조직의 보스를 만나러 생전 가지 않던 고급 와인 바에 들른다. 같은 공간에서 술친구가 필요한 헬레나가 밥에게 접근하면서 둘은 뜨거운 하룻밤을 보내게 된다. 단, 다시는 만나지 않는다는 전제하에.

그러나 운명은 그들의 편이 아니었다.
다음날 헬레나는 망가진 몰골로 동생 결혼식에 참석하지만, 숙취로 인해 쫓겨나다시피 결혼식장을 빠져 나오게 되는데, 바로 그때 수 천 만원의 현금을 비닐봉지에 들고 땀 범벅으로 뛰어가던 밥과 다시 마주친다.
보스에게 전해줄 현금을 송금하기 위해 은행으로 뛰어가던 것. 하지만 은행 문이 닫아서 거액의 현금을 수습할 길이 없는 밥과 그와는 다시 만나지 않을 것이라고 다짐했던 생각을 바꾼 헬레나. 이 둘은 결국 또 다시 함께 시간을 보내게 된다.

그리고 이 운명의 토요일은 바로 밥의 생일.
밥과 헬레나는 보스의 돈으로 와인가게에서 최고로 비싼 와인을 박스로 사고, 악기점에 가서 최고로 비싼 기타를 사서, 길거리에서 기타를 치며 노래를 한다. 지나가는 행인들에게 와인과 돈을 나누어 주면서…..
그리고 이 와중에 만난 껄렁한 젊은이들과 함께 엽기 클럽에 갔다가 밧줄에 꽁꽁 묶여 매달린 신세가 되기도 한다.

예상치 못한 만남으로 누구나 한번쯤 꿈꾸는 일탈을 시도하는 두 남녀의 하루는 흥미로운 사건과 사고로 이어지는데…
				

<b>※ 공연이 시작된 이후에는 어텐던트의 유도에 따라서만 입장할 수 있으며, 본인 좌석이 아닌 빈 좌석으로 안내될 수 있습니다.</b>",http://www.sacticket.co.kr/webhome/upload/prog_16044_1.jpg,(주)오디뮤지컬컴퍼니,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16044&s_date=20110427
예술의전당 명배우시리즈 1 <손숙의 셜리 발렌타인>, ,http://www.sacticket.co.kr/webhome/upload/prog_16683_1.jpg, ,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16683&s_date=20111115
예술의전당 명배우시리즈 1 <손숙의 셜리 발렌타인>,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2011/sonsook/index.html"" target=""_blank""><u>예술의전당 명배우시리즈 1 '손숙의 셜리 발렌타인 ' 홈페이지 바로가기</u></a>]

					※티켓오픈 안내
예술의전당 유료회원 : 9월29일(목) 오후2시 / 일반 : 10월6일(목)

`내 이름은 엄마, 아내가 아닌 셜리 발렌타인!
유쾌하고 매력적인 여배우 손숙, 앞치마를 벗어던지고 지중해로 떠나다!`

<b>세계에서 가장 사랑받는 유쾌한 모노드라마 <셜리 발렌타인></b>

*로렌스 올리비에 `베스트 뉴 코메디상` 수상 (1988)
*토니어워드 `베스트 연극상` 선정 (1989)

<font color=""#557DE1"">난 요릴 하면서 와인 한 잔 하는 게 좋아. 알지, 벽아?</font>
집안의 벽하고만 대화를 나누는 40대 중년의 평범한 주부 셜리 발렌타인. 남편과 아이들로부터 소외 된 채 무료한 삶을 살아가던 그녀는 어느 날, 무작정 그리스 여행을 떠난다. 

<font color=""#557DE1"">영국 엘리자베스 여왕이 가장 좋아한 바로 그 여자, 셜리 발렌타인</font> 
지중해 바닷가에서 자신만의 시간을 보내며, 잃어버린 꿈과 자아를 찾아가는 과정을 통해 자신의 새로운 삶에 용기를 갖는 우리들의 자화상 셜리 발렌타인은 영국의 여왕마저도 매료시킨 매혹적인 캐릭터이다. 이 캐릭터를 탄생시킨 윌리 러셀은 <리타 길들이기>, <블러드 브라더스> 등의 작품으로 국내에도 수많은 팬을 확보한 극작가이다. <셜리 발렌타인>은 영국 리버풀의 소극장에서 초연된 뒤 웨스트앤드, 브로드웨이 등 세계 각국의 무대에서 성공을 거두었으며, 그 뒤 영화로도 제작되어 토니어워드상(1989) 수상, 골든 그로브상(1984)과 오스카상(1990)에 선정되는 등, 세계적으로 작품성을 인정받았다. 

<b><셜리 발렌타인>의 오리지널 멤버 두 사람
예술의전당 명배우시리즈 그 첫 번째 무대를 화려하게 장식한다!</b>

<font color=""#557DE1"">1인극의 1인자, 한국의 원조 '셜리 발렌타인' 지성파 여배우 손숙</font>
1986년 한국 초연<셜리 발렌타인>에서 셜리역을 맡은 대한민국 대표 지성파 여배우 손숙은 <셜리 발렌타인>을 비롯하여 <담배 피우는 여자>, <그 여자> 등의 모노드라마에서 배우로서의 진가를 보여주며 아름다우면서도 강인한 여성의 상징이 되었다. 진실함과 따듯함을 담은 연기와 다시 태어나도 연극배우로 살겠다는 그녀의 멈추지 않는 배우정신은 수많은 여성과 남성 관객들을 사로잡았다. 작품 속에서 주인공 셜리를 비롯해 남편, 딸, 아들, 교장선생, 이웃집 여인 등 15개의 역할을 혼자 소화하는 그녀는 꿈을 찾아 떠나는 주부 셜리를 유쾌하고 매력적이면서도 감동적으로 그린다. 삶의 관록이 묻어나 깊이가 더해진 그녀의 셜리 발렌타인이 예술의전당 자유소극장에서 펼쳐진다. 

<font color=""#557DE1"">세계무대를 종횡무진하는 세계적인 여성 연출자 글렌 웰포드</font>
셰익스피어 전문가로서 다작의 셰익스피어 작품을 무대에 올린 배우이자 세계적으로 각광받는 연출가이다. 런던의 Bubble Theatre Company, 홍콩의 Chung-ying Teatre Company의 창립자이자 초기 예술감독을 역임했고, 리버풀의 Everyman Theatre 예술감독을 역임하였고, 홍콩, 일본, 러시아, 그리스 등 세계무대를 누비며 왕성한 활동을 하고 있다. <셜리 발렌타인은> Everyman 극장 예술감독이던 그녀가 윌리 러셀에게 직접 집필을 의뢰하여 탄생한 작품이다. 2005년 내한하여 손숙을 처음 보는 순간 ‘저기 셜리 발렌타인이 걸어오는구나’ 라고 생각했다는 그녀는 손숙과 함께 완벽한 한국형 셜리 발렌타인을 탄생시켰다. <셜리 발렌타인>의 오리지널 멤버 두 사람이 예술의전당의 축적된 노하우와 인프라로 기획된 <명배우 시리즈>의 그 첫 번째 주자로 한층 업그레이드 된 공연을 선사한다.",http://www.sacticket.co.kr/webhome/upload/prog_16684_1.jpg,예술의전당,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16684&s_date=20111118
연극 <대학살의 신>,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2011/sin/index.jsp"" target=""_blank""><u>연극 '대학살의 신' 홈페이지 바로가기</u></a>]",http://www.sacticket.co.kr/webhome/upload/prog_16685_1.jpg,(주)신시컴퍼니,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16685&s_date=20111217
연극 <대학살의 신>, ,http://www.sacticket.co.kr/webhome/upload/prog_16686_1.jpg, ,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16686&s_date=20111212
극단 상상<동물농장>-RED,"고대하던 혁명이 일어난 다음날 농장의 아침,자유로 가득한 농장의 첫 하루가 활기찬 농물들의 노래와 함께 열린다.
한동안 자유를 만끽하던 동물들은 점차 나태해지고 이를 지켜보던 스노우볼과 나폴레옹은 동물들이 지켜야할 7계명과 농장 운영에 대한 교육울 실시하기 시작하면서 동물농장의 혁신적인 바람을 일으킨다.
오래전부터 동물농장의 혁신적인 청사진을 준비해오던 스노우볼은 꿈의 유토피아를 열어줄 거대한 풍차건설의 구체적인 계확안을 내놓아 동물들의 전폭적인 지지를 얻는다.
스노우볼에 대한 동물들의 전폭적인 지지에 위기를 느낀 나폴레옹은 스퀘얼러 및 몇몇의 돼지들과 스노우볼을 제거할 계확을 짜고,그러던 어느날 스노우볼이 인간의 사주를 받은 스파이라는 누명을 씌워 농장 밖으로 쫓아내고, 자신을 따르는 무리들과 함께 무력으로 농장의 전권을 손에 쥐게 된다.
농장의 전권을 손에 쥔 나폴레옹은 스노우볼이 추진하던 풍차건설 계획을 다시 추진하고,동물들에게 수많은 꿈들을 이루게 될 것이라고 선동한다.
늙은 벤자민만이 진실을 알고 있지만 그저 지켜볼뿐,다른 동물들은 점점 커져가는 자신들의 꿈에 도취되어 풍차건설에 비지땀을 흘리고, 나폴레옹과 스퀘얼러는 호화로은 생활을 위해 건설 재료들을 빼돌리기 시작한다.
완공식 전날,부실 공사로 인해 풍차는 무너지고 동물들은 나폴레옹의 지도력에 의심을 품기 시작한다.
나폴레옹과 스퀘얼러는 풍차건설의 실패를 달아난 스노우볼의 음모라고 주장하면서 자신들에게 반기를 드는 동물들을 스노우볼의 첩자라는 누명을 씌워서 처형한다.
클로우버와 뮤리엘은 7계명의 동물들을 죽이지 말라는 계명을 확인해보지만,이미 계명은 ""이유없이 죽여서는 안된다""로 수정되어 있다.
나폴레옹은 무력으로 모든 동물들을 통제하면서 다시 풍차 건설을 추진하고,동물들은 잔혹한 노동현실에 지쳐가면서 자신들의 꿈에 대한 희망을 잃지 않는다.",http://www.sacticket.co.kr/webhome/upload/ ,"극단상상 , 축제연구소PAN",연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6299&s_date=20020906
예술의전당 `청소년연극제`,"10/26
<2시>해가 지면 달이 뜨고(김태수 작) - 전남 순천여고
<6시>아비(김동기 작) - 충북 충주여고
10/27
<2시>푸른길잡이 물고기(송재충 작) - 제주 중앙여고
<6시>첫사랑(방은미 작) - 인천 신명여고
10/28
<2시>다녀왔습니다(김민정 작) - 서울 한영고
<6시>아카시아 꽃잎은 떨어지고(김정숙 작) - 전북 전주여상
10/29
<2시>백자부(심회만 작) - 대구 경명여고
<6시>나의 교실(김낙형 작) - 서울 서라벌고
10/30
<2시>첫사랑(방은미 작) - 경기 시온고
<6시>롤렉스 금장(이만희 작) - 경기 사우고
10/31
<2시>귀족수업(몰리에르 작) - 경남 통영여고
<6시>우리 사는 이야기(손튼와일드 작) - 대전 충남여고
11/1
<2시>종이뱅기(권남희 작) - 부산 영상고
<6시>꿈꾸는 별들(윤대성 작) - 경북 상주여고
11/2
<2시>아름다운 사인(장진 작) - 충남 공주여고
<3시30분>미술광장특별공연 - 계원예고마당놀이
<6시>소(유치진 작) - 광주 동신여고
11/3
<2시>태(오태석 작) - 강원 동해광희고
<6시>어머니(이윤택 작) - 울산 남창고
11/4
<3시>시상식",http://www.sacticket.co.kr/webhome/upload/ ,"예술의전당,대산문화재단,한국연극협회,EBS",연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6303&s_date=20021026
두 여자,"연극 ‘두여자’는 94년도 대종상영화제 6개부문(최우수작품상, 신인감독상, 신인여우상, 여우조연상, 각본상, 촬영상)을 석권한 ‘두 여자 이야기’(각본/유상욱 감독/이정국)를 연극으로 재창조한 작품이다.

-이 작품은 1950년대 한국전쟁 직후, 가난이라는 당시의 굴레 속에서 살았던 세대의 사람들. 특히 삶의 고통속에서 얻게 되는 ‘한’을 그 누구보다 뼈저리게 느끼면서도 마음속 깊이 억누르며 인내해야 했던 어머니들, 그녀들의 처절한 삶을 통해 그 속에서 절절히 배어나오는 한국인의 숨결과 삶의 방식을 엿보고자 한다. 이를 통해 우리는 잊혀져가는 전통에 대한 향수와 현대인들이 잊고 살아가는 ‘어머니’의 따뜻함을 다시금 느낄 수 있을 것이다.",http://www.sacticket.co.kr/webhome/upload/ ,에이넷코리아,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6588&s_date=20020418
